Equivalent Von Mises Stress [N/mm2]		
Position	Arc Length[mm]	Top Layer 	Middle Layer 	Bottom Layer
1	0.0000	245.5920	82.0991	83.6601
2	8.0000	236.9200	83.2820	78.3608
3	17.0000	202.1980	88.6076	58.4691
4	29.0000	167.3930	113.5710	110.0590
5	40.0000	136.2940	137.7760	173.7280
6	62.3607	66.4780	73.5972	88.0078
7	84.7214	84.5433	92.7214	102.7840
8	107.0820	81.7057	96.5828	112.0270
9	129.4430	72.5174	83.4534	94.9657
10	171.4430	137.4400	132.4090	130.2210
11	213.4430	159.8570	153.5750	149.6140
12	255.4430	143.1750	143.3380	143.5430
13	297.4430	141.8640	141.8310	141.8270
14	339.4430	143.5480	143.1470	142.7470
15	381.4430	143.3940	143.2190	143.0430
16	423.4430	143.1190	143.0750	143.0300
17	465.4430	143.1060	143.0870	143.0690
18	507.4430	143.1090	143.1060	143.1030
19	549.4430	143.1000	143.1060	143.1120
20	591.4430	143.1020	143.1070	143.1120
21	633.4430	143.0830	143.0900	143.0980
22	675.4430	143.0580	143.0800	143.1030
23	717.4430	143.2660	143.2350	143.2040
24	759.4430	143.3330	143.1950	143.0580
25	801.4430	141.4830	141.8750	142.2950
26	843.4430	142.4510	143.2990	144.1900
27	885.4430	158.9060	153.7470	150.8090
28	927.4430	139.1170	133.4760	130.3970
29	969.4430	70.9563	78.5301	86.3645
30	991.8030	52.6229	77.2908	104.5790
31	1014.1600	37.7259	80.8104	130.5280
32	1036.5200	70.2649	88.4809	122.9240
33	1058.8900	141.8320	118.1400	118.0380
34	1069.8900	204.6280	118.7440	82.6272
35	1081.8900	268.4040	113.7050	63.3517
36	1090.8900	298.5180	111.3470	78.4198
37	1098.8900	306.4240	110.9030	85.5240
